id_country,country,month,price,description,quantity
AUS,Australia,2,67.95,PAPER BUNTING WHITE LACE,-18
AUS,Australia,3,168.7,HOMEMADE JAM SCENTED CANDLES,-86
AUS,Australia,4,438.2,COTTON APRON PANTRY DESIGN,-100
AUS,Australia,5,9.9,EASTER TIN BUNNY BOUQUET,-5
AUS,Australia,6,23,MULTI COLOUR SILVER T-LIGHT HOLDER,-6
AUS,Australia,7,196.81,HANGING HEART JAR T-LIGHT HOLDER,-36
AUS,Australia,9,75,WHITE HEART CONFETTI IN TUBE,-24
AUS,Australia,11,436.73,RIBBON REEL SNOWY VILLAGE,-120
AUS,Australia,12,27.75,RETROSPOT PARTY BAG + STICKER SET,-7
AUT,Austria,6,24.2,KINGS CHOICE BISCUIT TIN,-5
AUT,Austria,12,20.16,ANGEL DECORATION STARS ON DRESS,-48
BHR,Bahrain,1,205.74,OCEAN SCENT CANDLE IN JEWELLED BOX,-54
BEL,Belgium,1,46.15,RED SPOTTY BISCUIT TIN,-3
BEL,Belgium,2,19.75,SET/3 POLKADOT STACKING TINS,-3
BEL,Belgium,3,18.4,GLASS CHALICE BLUE SMALL ,-6
BEL,Belgium,4,35.33,PICNIC BOXES SET OF 3 RETROSPOT ,-3
BEL,Belgium,5,5.4,GRAND CHOCOLATECANDLE,-2
BEL,Belgium,6,1.65,CHILDRENS DOLLY GIRL MUG,-1
BEL,Belgium,7,1.95,LUNCH BOX I LOVE LONDON,-1
BEL,Belgium,8,17.9,LUNCH BOX I LOVE LONDON,-8
BEL,Belgium,9,10.2,12 PENCILS TALL TUBE WOODLAND,-12
BEL,Belgium,10,34,HENRIETTA HEN MUG ,-12
BEL,Belgium,11,86.35,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,-3
NULL,Channel Islands,1,30.5,FAMILY ALBUM WHITE PICTURE FRAME,-2
NULL,Channel Islands,5,303.45,LARGE ANTIQUE WHITE PHOTO FRAME,-1
NULL,Channel Islands,8,4.25,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",-1
NULL,Channel Islands,9,2.1,SMALL GLASS HEART TRINKET POT,-1
NULL,Channel Islands,11,19.6,ANTIQUE HEART SHELF UNIT,-1
CYN,Cyprus,2,320.69,Manual,-1
CYN,Cyprus,4,35.8,3 TIER CAKE TIN GREEN AND CREAM,-2
CYN,Cyprus,10,196.35,EDWARDIAN PARASOL NATURAL,-33
CZE,Czech Republic,4,57.51,PINK METAL CHICKEN HEART ,-24
CZE,Czech Republic,11,61.51,PINK METAL CHICKEN HEART ,-24
DNK,Denmark,8,134.55,BREAD BIN DINER STYLE PINK,-4
DNK,Denmark,10,52.65,WRAP 50'S  CHRISTMAS,-25
NULL,EIRE,1,247.67,MAGIC GARDEN FELT GARLAND ,-12
NULL,EIRE,2,2574.6,DOLLY GIRL LUNCH BOX,-192
NULL,EIRE,3,3414.28,PACK OF 20 NAPKINS PANTRY DESIGN,-12
NULL,EIRE,5,87.41,SET OF 5 LUCKY CAT MAGNETS ,-12
NULL,EIRE,6,4803.36,PACK OF 72 RETROSPOT CAKE CASES,-72
NULL,EIRE,7,49.2,COLOUR GLASS T-LIGHT HOLDER HANGING,-4
NULL,EIRE,8,6196.28,36 DOILIES VINTAGE CHRISTMAS,-288
NULL,EIRE,9,447.5,LUNCH BAG RED RETROSPOT,-100
NULL,EIRE,10,1010.3,POPCORN HOLDER,-32
NULL,EIRE,11,325.38,CHOCOLATE HOT WATER BOTTLE,-24
NULL,EIRE,12,1003.31,SMALLFOLKART BAUBLE CHRISTMAS DEC,-96
NULL,European Community,6,8.5,JAM MAKING SET WITH JARS,-2
FIN,Finland,3,12.2,RED RETROSPOT PUDDING BOWL,-1
FIN,Finland,4,62.11,POLKADOT COFFEE CUP & SAUCER PINK,-27
FIN,Finland,8,4.95,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",-1
FIN,Finland,10,18,POSTAGE,-1
FIN,Finland,11,120,POSTAGE,-3
FRA,France,1,237.05,PLASTERS IN TIN CIRCUS PARADE ,-12
FRA,France,2,77.05,RETRO PLASTIC POLKA TRAY,-15
FRA,France,3,72.65,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,-24
FRA,France,4,1334.4,MAGNETS PACK OF 4 SWALLOWS,-60
FRA,France,5,87.8,BLACK KITCHEN SCALES,-2
FRA,France,6,356.54,WRAP GREEN PEARS ,-25
FRA,France,7,111.2,CHEST OF DRAWERS GINGHAM HEART ,-4
FRA,France,8,21.7,LUNCH BAG RED RETROSPOT,-6
FRA,France,9,229.17,MULTICOLOUR  CONFETTI IN TUBE,-21
FRA,France,10,8453.41,ZINC FOLKART SLEIGH BELLS,-36
FRA,France,11,1061.2,WRAP CHRISTMAS VILLAGE,-250
FRA,France,12,40.95,LUNCH BAG DOLLY GIRL DESIGN,-3
DEU,Germany,1,459.41,SET/10 RED POLKADOT PARTY CANDLES,-24
DEU,Germany,2,611.81,5 HOOK HANGER MAGIC TOADSTOOL,-29
DEU,Germany,3,222.67,GUMBALL COAT RACK,-12
DEU,Germany,4,352.17,BLUE POLKADOT COFFEE MUG,-14
DEU,Germany,5,179.85,JAM JAR WITH PINK LID,-10
DEU,Germany,6,193.08,RED RETROSPOT WRAP ,-25
DEU,Germany,7,719.32,36 PENCILS TUBE WOODLAND,-32
DEU,Germany,8,197.12,TRAVEL CARD WALLET KEEP CALM,-24
DEU,Germany,9,370.91,SET OF 60 PANTRY DESIGN CAKE CASES ,-24
DEU,Germany,10,1024.15,PANTRY MAGNETIC  SHOPPING LIST,-14
DEU,Germany,11,1980.67,BOYS ALPHABET IRON ON PATCHES,-288
DEU,Germany,12,678.3,REGENCY CAKESTAND 3 TIER,-21
GRC,Greece,7,50,POSTAGE,-1
HKG,Hong Kong,3,2583.76,Manual,-1
HKG,Hong Kong,9,2653.95,Manual,-1
HKG,Hong Kong,10,10.95,RED RETROSPOT CAKE STAND,-1
HKG,Hong Kong,11,326.1,Manual,-1
ISR,Israel,12,227.44,SPACEBOY TV DINNER TRAY,-32
ITA,Italy,1,41.15,36 PENCILS TUBE POSY,-9
ITA,Italy,2,4.5,Manual,-1
ITA,Italy,3,27.9,SET OF 3 CAKE TINS PANTRY DESIGN ,-2
ITA,Italy,6,39.8,CANDLEHOLDER PINK HANGING HEART,-2
ITA,Italy,8,56.15,PACK OF 6 SKULL PAPER CUPS,-12
ITA,Italy,10,78.9,JAM MAKING SET WITH JARS,-4
ITA,Italy,11,327.33,JAM MAKING SET WITH JARS,-9
ITA,Italy,12,17,SWEETHEART CARRY-ALL BASKET,-2
JPN,Japan,1,109.8,PAPER BUNTING COLOURED LACE,-40
JPN,Japan,3,122.56,SET 3 PAPER VINTAGE CHICK PAPER EGG,-12
JPN,Japan,4,1676.67,ROUND SNACK BOXES SET OF 4 FRUITS ,-624
JPN,Japan,8,49.79,36 PENCILS TUBE RED RETROSPOT,-16
NULL,Malta,6,12.75,SET/3 ROSE CANDLE IN JEWELLED BOX,-2
NULL,Malta,8,15.75,CHRISTMAS PUDDING TRINKET POT ,-4
NULL,Malta,11,160.81,GRAND CHOCOLATECANDLE,-3
NLD,Netherlands,2,79.8,HANGING CHICK CREAM DECORATION,-24
NLD,Netherlands,6,15,ASS FLORAL PRINT MULTI SCREWDRIVER,-12
NLD,Netherlands,8,672,Manual,-480
NLD,Netherlands,11,18,POSTAGE,-1
NOR,Norway,3,960.63,BLUE HARMONICA IN BOX ,-12
NOR,Norway,8,41.35,VINTAGE HEADS AND TAILS CARD GAME ,-12
POL,Poland,3,14.39,CERAMIC CAKE DESIGN SPOTTED MUG,-6
POL,Poland,6,78.91,PHOTO FRAME 3 CLASSIC HANGING,-4
POL,Poland,7,8.85,RECIPE BOX PANTRY YELLOW DESIGN,-3
POL,Poland,11,19.36,CERAMIC CAKE DESIGN SPOTTED PLATE,-4
PRT,Portugal,1,57.6,JAM MAKING SET WITH JARS,-12
PRT,Portugal,5,3614.4,Manual,-5
PRT,Portugal,6,4.95,SET OF 3 REGENCY CAKE TINS,-1
PRT,Portugal,8,15,ASSORTED TUTTI FRUTTI MIRROR,-12
PRT,Portugal,10,622.04,Manual,-2
PRT,Portugal,12,59.85,TRADITIONAL WOODEN CATCH CUP GAME ,-12
SAU,Saudi Arabia,3,14.75,GLASS JAR DAISY FRESH COTTON WOOL,-5
SGP,Singapore,4,6090.84,Manual,-5
SGP,Singapore,10,6068.06,Manual,-2
ESP,Spain,1,2907.55,RED RETROSPOT CAKE STAND,-6
ESP,Spain,2,20.8,CERAMIC BOWL WITH STRAWBERRY DESIGN,-1
ESP,Spain,3,36.5,REGENCY CAKESTAND 3 TIER,-2
ESP,Spain,6,0.77,Manual,-1
ESP,Spain,7,46.75,JAM MAKING SET WITH JARS,-11
ESP,Spain,8,16.5,ALARM CLOCK BAKELIKE GREEN,-1
ESP,Spain,9,25.5,PLASMATRONIC LAMP,-1
ESP,Spain,10,3558.29,VANILLA SCENT CANDLE JEWELLED BOX,-288
ESP,Spain,11,145.09,MILK MAIDS MUG ,-12
SWE,Sweden,1,40,POSTAGE,-1
SWE,Sweden,3,180,VICTORIAN SEWING KIT,-144
SWE,Sweden,5,17,WOODEN OWLS LIGHT GARLAND ,-4
SWE,Sweden,8,9.9,6 RIBBONS RUSTIC CHARM,-6
SWE,Sweden,11,109.52,MINI LIGHTS WOODLAND MUSHROOMS,-5
SWE,Sweden,12,1188,SET OF 3 BABUSHKA STACKING TINS,-240
CHE,Switzerland,2,12.25,BLACK KITCHEN SCALES,-1
CHE,Switzerland,4,254.75,JUMBO BAG APPLES,-100
CHE,Switzerland,5,42.8,RED RETROSPOT CAKE STAND,-3
CHE,Switzerland,6,21.95,GLASS BON BON JAR,-2
CHE,Switzerland,7,222,MAGIC SHEEP WOOL GROWING FROM PAPER,-120
CHE,Switzerland,8,87.7,VINTAGE LEAF MAGNETIC NOTEPAD,-8
CHE,Switzerland,9,29.9,CHERRY BLOSSOM  DECORATIVE FLASK,-2
CHE,Switzerland,10,31.2,STORAGE TIN VINTAGE DOILY ,-5
CHE,Switzerland,11,2,POSTAGE,-2
GBR,United Kingdom,1,126981.68,MEDIUM CERAMIC TOP STORAGE JAR,-74215
GBR,United Kingdom,2,21780.04,Manual,-217
GBR,United Kingdom,3,26522.89,Discount,-724
GBR,United Kingdom,4,34263.72,FAIRY CAKE FLANNEL ASSORTED COLOUR,-3114
GBR,United Kingdom,5,42854.5,Manual,-1464
GBR,United Kingdom,6,65032.32,HERB MARKER BASIL,-1515
GBR,United Kingdom,7,36515,COLOUR GLASS. STAR T-LIGHT HOLDER,-722
GBR,United Kingdom,8,46792.86,HOME SWEET HOME MUG,-829
GBR,United Kingdom,9,35058.32,PANTRY CHOPPING BOARD,-943
GBR,United Kingdom,10,61536.82,PINK BLUE FELT CRAFT TRINKET BOX,-2592
GBR,United Kingdom,11,42540.43,POPCORN HOLDER,-297
GBR,United Kingdom,12,71526.36,ROTATING SILVER ANGELS T-LIGHT HLDR,-9369
USA,USA,10,1579.51,MINI PAINT SET VINTAGE ,-36
